Date,Fiscal Year,Fiscal Quarter,Fiscal Period,Fiscal Year-Quarter,Fiscal Year-Period,Fiscal Year Sort,Fiscal Quarter Sort,Fiscal Period Sort,Fiscal Year-Quarter Sort,Fiscal Year-Period Sort
01-Jan-22,2022,Q1,P1,2022-Q1,2022-P1,2,1,12,4,12
02-Jan-22,2022,Q1,P1,2022-Q1,2022-P1,2,1,12,4,12
03-Jan-22,2022,Q1,P1,2022-Q1,2022-P1,2,1,12,4,12
04-Jan-22,2022,Q1,P1,2022-Q1,2022-P1,2,1,12,4,12
05-Jan-22,2022,Q1,P1,2022-Q1,2022-P1,2,1,12,4,12
06-Jan-22,2022,Q1,P1,2022-Q1,2022-P1,2,1,12,4,12
07-Jan-22,2022,Q1,P1,2022-Q1,2022-P1,2,1,12,4,12
08-Jan-22,2022,Q1,P1,2022-Q1,2022-P1,2,1,12,4,12
09-Jan-22,2022,Q1,P1,2022-Q1,2022-P1,2,1,12,4,12
10-Jan-22,2022,Q1,P1,2022-Q1,2022-P1,2,1,12,4,12
11-Jan-22,2022,Q1,P1,2022-Q1,2022-P1,2,1,12,4,12
12-Jan-22,2022,Q1,P1,2022-Q1,2022-P1,2,1,12,4,12
13-Jan-22,2022,Q1,P1,2022-Q1,2022-P1,2,1,12,4,12
14-Jan-22,2022,Q1,P1,2022-Q1,2022-P1,2,1,12,4,12
15-Jan-22,2022,Q1,P1,2022-Q1,2022-P1,2,1,12,4,12
16-Jan-22,2022,Q1,P1,2022-Q1,2022-P1,2,1,12,4,12
17-Jan-22,2022,Q1,P1,2022-Q1,2022-P1,2,1,12,4,12
18-Jan-22,2022,Q1,P1,2022-Q1,2022-P1,2,1,12,4,12
19-Jan-22,2022,Q1,P1,2022-Q1,2022-P1,2,1,12,4,12
20-Jan-22,2022,Q1,P1,2022-Q1,2022-P1,2,1,12,4,12
21-Jan-22,2022,Q1,P1,2022-Q1,2022-P1,2,1,12,4,12
22-Jan-22,2022,Q1,P1,2022-Q1,2022-P1,2,1,12,4,12
23-Jan-22,2022,Q1,P1,2022-Q1,2022-P1,2,1,12,4,12
24-Jan-22,2022,Q1,P1,2022-Q1,2022-P1,2,1,12,4,12
25-Jan-22,2022,Q1,P1,2022-Q1,2022-P1,2,1,12,4,12
26-Jan-22,2022,Q1,P1,2022-Q1,2022-P1,2,1,12,4,12
27-Jan-22,2022,Q1,P1,2022-Q1,2022-P1,2,1,12,4,12
28-Jan-22,2022,Q1,P1,2022-Q1,2022-P1,2,1,12,4,12
29-Jan-22,2022,Q1,P1,2022-Q1,2022-P1,2,1,12,4,12
30-Jan-22,2022,Q1,P1,2022-Q1,2022-P1,2,1,12,4,12
31-Jan-22,2022,Q1,P1,2022-Q1,2022-P1,2,1,12,4,12
01-Feb-22,2022,Q1,P2,2022-Q1,2022-P2,2,1,11,4,11
02-Feb-22,2022,Q1,P2,2022-Q1,2022-P2,2,1,11,4,11
03-Feb-22,2022,Q1,P2,2022-Q1,2022-P2,2,1,11,4,11
04-Feb-22,2022,Q1,P2,2022-Q1,2022-P2,2,1,11,4,11
05-Feb-22,2022,Q1,P2,2022-Q1,2022-P2,2,1,11,4,11
06-Feb-22,2022,Q1,P2,2022-Q1,2022-P2,2,1,11,4,11
07-Feb-22,2022,Q1,P2,2022-Q1,2022-P2,2,1,11,4,11
08-Feb-22,2022,Q1,P2,2022-Q1,2022-P2,2,1,11,4,11
09-Feb-22,2022,Q1,P2,2022-Q1,2022-P2,2,1,11,4,11
10-Feb-22,2022,Q1,P2,2022-Q1,2022-P2,2,1,11,4,11
11-Feb-22,2022,Q1,P2,2022-Q1,2022-P2,2,1,11,4,11
12-Feb-22,2022,Q1,P2,2022-Q1,2022-P2,2,1,11,4,11
13-Feb-22,2022,Q1,P2,2022-Q1,2022-P2,2,1,11,4,11
14-Feb-22,2022,Q1,P2,2022-Q1,2022-P2,2,1,11,4,11
15-Feb-22,2022,Q1,P2,2022-Q1,2022-P2,2,1,11,4,11
16-Feb-22,2022,Q1,P2,2022-Q1,2022-P2,2,1,11,4,11
17-Feb-22,2022,Q1,P2,2022-Q1,2022-P2,2,1,11,4,11
18-Feb-22,2022,Q1,P2,2022-Q1,2022-P2,2,1,11,4,11
19-Feb-22,2022,Q1,P2,2022-Q1,2022-P2,2,1,11,4,11
20-Feb-22,2022,Q1,P2,2022-Q1,2022-P2,2,1,11,4,11
21-Feb-22,2022,Q1,P2,2022-Q1,2022-P2,2,1,11,4,11
22-Feb-22,2022,Q1,P2,2022-Q1,2022-P2,2,1,11,4,11
23-Feb-22,2022,Q1,P2,2022-Q1,2022-P2,2,1,11,4,11
24-Feb-22,2022,Q1,P2,2022-Q1,2022-P2,2,1,11,4,11
25-Feb-22,2022,Q1,P2,2022-Q1,2022-P2,2,1,11,4,11
